[mu2, mu3, correctneg, falseneg, correctoff, falseoff, correctoff%, negative/offensive]
[0.01, 0.1, 240, 6, 221, 949, 0.18888888888888888, 'neg: 246/off: 1170']
[0.01, 0.09, 236, 6, 221, 953, 0.18824531516183987, 'neg: 242/off: 1174']
[0.01, 0.08, 227, 6, 221, 962, 0.18681318681318682, 'neg: 233/off: 1183']
[0.01, 0.06, 220, 5, 222, 969, 0.18639798488664988, 'neg: 225/off: 1191']
[0.01, 0.07, 224, 6, 221, 965, 0.18634064080944351, 'neg: 230/off: 1186']
[0.01, 0.05, 209, 4, 223, 980, 0.1853699085619285, 'neg: 213/off: 1203']
[0.02, 0.1, 193, 3, 226, 994, 0.18524590163934426, 'neg: 196/off: 1220']
[0.01, 0.04, 203, 4, 223, 986, 0.18444995864350702, 'neg: 207/off: 1209']
[0.01, 0.03, 198, 4, 223, 991, 0.18369028006589785, 'neg: 202/off: 1214']
[0.02, 0.08, 184, 2, 225, 1005, 0.18292682926829268, 'neg: 186/off: 1230']
[0.02, 0.09, 187, 3, 224, 1002, 0.18270799347471453, 'neg: 190/off: 1226']
[0.02, 0.07, 181, 2, 225, 1008, 0.18248175182481752, 'neg: 183/off: 1233']
[0.01, 0.02, 185, 3, 224, 1004, 0.18241042345276873, 'neg: 188/off: 1228']
[0.02, 0.06, 177, 2, 225, 1012, 0.18189167340339532, 'neg: 179/off: 1237']
[0.02, 0.05, 176, 2, 225, 1013, 0.18174474959612277, 'neg: 178/off: 1238']
[0.03, 0.1, 174, 4, 225, 1013, 0.18174474959612277, 'neg: 178/off: 1238']
[0.02, 0.04, 174, 2, 225, 1015, 0.1814516129032258, 'neg: 176/off: 1240']
[0.02, 0.03, 167, 2, 225, 1022, 0.18043303929430635, 'neg: 169/off: 1247']
[0.02, 0.02, 165, 2, 225, 1024, 0.1801441152922338, 'neg: 167/off: 1249']
[0.03, 0.09, 165, 4, 223, 1024, 0.17882919005613473, 'neg: 169/off: 1247']
[0.04, 0.1, 156, 5, 224, 1031, 0.17848605577689244, 'neg: 161/off: 1255']
[0.03, 0.08, 162, 4, 223, 1027, 0.1784, 'neg: 166/off: 1250']
