[mu2, mu3, correct, false, correct%]
[0.001, 0.001, 1116, 300, 0.788135593220339]
[0.001, 0.002, 1116, 300, 0.788135593220339]
[0.002, 0.001, 1116, 300, 0.788135593220339]
[0.002, 0.002, 1116, 300, 0.788135593220339]
[0.003, 0.001, 1116, 300, 0.788135593220339]
[0.003, 0.002, 1116, 300, 0.788135593220339]
[0.004, 0.001, 1116, 300, 0.788135593220339]
[0.004, 0.002, 1116, 300, 0.788135593220339]
[0.005, 0.001, 1116, 300, 0.788135593220339]
[0.005, 0.002, 1116, 300, 0.788135593220339]
[0.006, 0.001, 1116, 300, 0.788135593220339]
[0.006, 0.002, 1116, 300, 0.788135593220339]
[0.007, 0.001, 1116, 300, 0.788135593220339]
[0.007, 0.002, 1116, 300, 0.788135593220339]
[0.008, 0.001, 1116, 300, 0.788135593220339]
[0.008, 0.002, 1116, 300, 0.788135593220339]
[0.009, 0.001, 1116, 300, 0.788135593220339]
[0.009, 0.002, 1116, 300, 0.788135593220339]
[0.01, 0.001, 1116, 300, 0.788135593220339]
[0.01, 0.002, 1116, 300, 0.788135593220339]
[0.001, 0.003, 1115, 301, 0.7874293785310734]
[0.001, 0.004, 1115, 301, 0.7874293785310734]
[0.002, 0.003, 1115, 301, 0.7874293785310734]
[0.002, 0.004, 1115, 301, 0.7874293785310734]
[0.003, 0.003, 1115, 301, 0.7874293785310734]
[0.003, 0.004, 1115, 301, 0.7874293785310734]
[0.004, 0.003, 1115, 301, 0.7874293785310734]
[0.004, 0.004, 1115, 301, 0.7874293785310734]
[0.005, 0.003, 1115, 301, 0.7874293785310734]
[0.005, 0.004, 1115, 301, 0.7874293785310734]
[0.006, 0.003, 1115, 301, 0.7874293785310734]
[0.006, 0.004, 1115, 301, 0.7874293785310734]
[0.007, 0.003, 1115, 301, 0.7874293785310734]
[0.007, 0.004, 1115, 301, 0.7874293785310734]
[0.008, 0.003, 1115, 301, 0.7874293785310734]
[0.008, 0.004, 1115, 301, 0.7874293785310734]
[0.009, 0.003, 1115, 301, 0.7874293785310734]
[0.009, 0.004, 1115, 301, 0.7874293785310734]
[0.01, 0.003, 1115, 301, 0.7874293785310734]
[0.01, 0.004, 1115, 301, 0.7874293785310734]
[0.001, 0.005, 1114, 302, 0.786723163841808]
[0.001, 0.006, 1114, 302, 0.786723163841808]
[0.001, 0.007, 1114, 302, 0.786723163841808]
[0.001, 0.008, 1114, 302, 0.786723163841808]
[0.002, 0.005, 1114, 302, 0.786723163841808]
[0.002, 0.006, 1114, 302, 0.786723163841808]
[0.002, 0.007, 1114, 302, 0.786723163841808]
[0.002, 0.008, 1114, 302, 0.786723163841808]
[0.003, 0.005, 1114, 302, 0.786723163841808]
[0.003, 0.006, 1114, 302, 0.786723163841808]
[0.003, 0.007, 1114, 302, 0.786723163841808]
[0.003, 0.008, 1114, 302, 0.786723163841808]
[0.004, 0.005, 1114, 302, 0.786723163841808]
[0.004, 0.006, 1114, 302, 0.786723163841808]
[0.004, 0.007, 1114, 302, 0.786723163841808]
[0.004, 0.008, 1114, 302, 0.786723163841808]
[0.005, 0.005, 1114, 302, 0.786723163841808]
[0.005, 0.006, 1114, 302, 0.786723163841808]
[0.005, 0.007, 1114, 302, 0.786723163841808]
[0.005, 0.008, 1114, 302, 0.786723163841808]
[0.006, 0.005, 1114, 302, 0.786723163841808]
[0.006, 0.006, 1114, 302, 0.786723163841808]
[0.006, 0.007, 1114, 302, 0.786723163841808]
[0.006, 0.008, 1114, 302, 0.786723163841808]
[0.007, 0.005, 1114, 302, 0.786723163841808]
[0.007, 0.006, 1114, 302, 0.786723163841808]
[0.007, 0.007, 1114, 302, 0.786723163841808]
[0.007, 0.008, 1114, 302, 0.786723163841808]
[0.008, 0.005, 1114, 302, 0.786723163841808]
[0.008, 0.006, 1114, 302, 0.786723163841808]
[0.008, 0.007, 1114, 302, 0.786723163841808]
[0.008, 0.008, 1114, 302, 0.786723163841808]
[0.009, 0.005, 1114, 302, 0.786723163841808]
[0.009, 0.006, 1114, 302, 0.786723163841808]
[0.009, 0.007, 1114, 302, 0.786723163841808]
[0.009, 0.008, 1114, 302, 0.786723163841808]
[0.01, 0.005, 1114, 302, 0.786723163841808]
[0.01, 0.006, 1114, 302, 0.786723163841808]
[0.01, 0.007, 1114, 302, 0.786723163841808]
[0.01, 0.008, 1114, 302, 0.786723163841808]
[0.001, 0.009, 1112, 304, 0.7853107344632768]
[0.002, 0.009, 1112, 304, 0.7853107344632768]
[0.003, 0.009, 1112, 304, 0.7853107344632768]
[0.004, 0.009, 1112, 304, 0.7853107344632768]
[0.005, 0.009, 1112, 304, 0.7853107344632768]
[0.006, 0.009, 1112, 304, 0.7853107344632768]
[0.007, 0.009, 1112, 304, 0.7853107344632768]
[0.008, 0.009, 1112, 304, 0.7853107344632768]
[0.009, 0.009, 1112, 304, 0.7853107344632768]
[0.01, 0.009, 1112, 304, 0.7853107344632768]
[0.001, 0.01, 1111, 305, 0.7846045197740112]
[0.002, 0.01, 1111, 305, 0.7846045197740112]
[0.003, 0.01, 1111, 305, 0.7846045197740112]
[0.004, 0.01, 1111, 305, 0.7846045197740112]
[0.005, 0.01, 1111, 305, 0.7846045197740112]
[0.006, 0.01, 1111, 305, 0.7846045197740112]
[0.007, 0.01, 1111, 305, 0.7846045197740112]
[0.008, 0.01, 1111, 305, 0.7846045197740112]
[0.009, 0.01, 1111, 305, 0.7846045197740112]
[0.01, 0.01, 1111, 305, 0.7846045197740112]
