[mu2, mu3, correct, false, correct%]
[0.01, 0.01, 1111, 305, 0.7846045197740112]
[0.02, 0.01, 1111, 305, 0.7846045197740112]
[0.03, 0.01, 1111, 305, 0.7846045197740112]
[0.04, 0.01, 1111, 305, 0.7846045197740112]
[0.05, 0.01, 1111, 305, 0.7846045197740112]
[0.06, 0.01, 1111, 305, 0.7846045197740112]
[0.07, 0.01, 1111, 305, 0.7846045197740112]
[0.08, 0.01, 1111, 305, 0.7846045197740112]
[0.09, 0.01, 1111, 305, 0.7846045197740112]
[0.01, 0.02, 1105, 311, 0.780367231638418]
[0.02, 0.02, 1105, 311, 0.780367231638418]
[0.03, 0.02, 1105, 311, 0.780367231638418]
[0.04, 0.02, 1105, 311, 0.780367231638418]
[0.05, 0.02, 1105, 311, 0.780367231638418]
[0.06, 0.02, 1105, 311, 0.780367231638418]
[0.07, 0.02, 1105, 311, 0.780367231638418]
[0.08, 0.02, 1105, 311, 0.780367231638418]
[0.09, 0.02, 1105, 311, 0.780367231638418]
[0.01, 0.03, 1100, 316, 0.7768361581920904]
[0.02, 0.03, 1100, 316, 0.7768361581920904]
[0.03, 0.03, 1100, 316, 0.7768361581920904]
[0.04, 0.03, 1100, 316, 0.7768361581920904]
[0.05, 0.03, 1100, 316, 0.7768361581920904]
[0.06, 0.03, 1100, 316, 0.7768361581920904]
[0.07, 0.03, 1100, 316, 0.7768361581920904]
[0.08, 0.03, 1100, 316, 0.7768361581920904]
[0.09, 0.03, 1100, 316, 0.7768361581920904]
[0.01, 0.04, 1098, 318, 0.7754237288135594]
[0.02, 0.04, 1098, 318, 0.7754237288135594]
[0.03, 0.04, 1098, 318, 0.7754237288135594]
[0.04, 0.04, 1098, 318, 0.7754237288135594]
[0.05, 0.04, 1098, 318, 0.7754237288135594]
[0.06, 0.04, 1098, 318, 0.7754237288135594]
[0.07, 0.04, 1098, 318, 0.7754237288135594]
[0.08, 0.04, 1098, 318, 0.7754237288135594]
[0.09, 0.04, 1098, 318, 0.7754237288135594]
[0.01, 0.05, 1091, 325, 0.7704802259887006]
[0.02, 0.05, 1091, 325, 0.7704802259887006]
[0.03, 0.05, 1091, 325, 0.7704802259887006]
[0.04, 0.05, 1091, 325, 0.7704802259887006]
[0.05, 0.05, 1091, 325, 0.7704802259887006]
[0.06, 0.05, 1091, 325, 0.7704802259887006]
[0.07, 0.05, 1091, 325, 0.7704802259887006]
[0.08, 0.05, 1091, 325, 0.7704802259887006]
[0.09, 0.05, 1091, 325, 0.7704802259887006]
[0.01, 0.06, 1060, 356, 0.748587570621469]
[0.02, 0.06, 1060, 356, 0.748587570621469]
[0.03, 0.06, 1060, 356, 0.748587570621469]
[0.04, 0.06, 1060, 356, 0.748587570621469]
[0.05, 0.06, 1060, 356, 0.748587570621469]
[0.06, 0.06, 1060, 356, 0.748587570621469]
[0.07, 0.06, 1060, 356, 0.748587570621469]
[0.08, 0.06, 1060, 356, 0.748587570621469]
[0.09, 0.06, 1060, 356, 0.748587570621469]
[0.01, 0.09, 317, 1099, 0.22387005649717515]
[0.02, 0.09, 317, 1099, 0.22387005649717515]
[0.03, 0.09, 317, 1099, 0.22387005649717515]
[0.04, 0.09, 317, 1099, 0.22387005649717515]
[0.05, 0.09, 317, 1099, 0.22387005649717515]
[0.06, 0.09, 317, 1099, 0.22387005649717515]
[0.07, 0.09, 317, 1099, 0.22387005649717515]
[0.08, 0.09, 317, 1099, 0.22387005649717515]
[0.09, 0.09, 317, 1099, 0.22387005649717515]
[0.01, 0.08, 297, 1119, 0.2097457627118644]
[0.02, 0.08, 297, 1119, 0.2097457627118644]
[0.03, 0.08, 297, 1119, 0.2097457627118644]
[0.04, 0.08, 297, 1119, 0.2097457627118644]
[0.05, 0.08, 297, 1119, 0.2097457627118644]
[0.06, 0.08, 297, 1119, 0.2097457627118644]
[0.07, 0.08, 297, 1119, 0.2097457627118644]
[0.08, 0.08, 297, 1119, 0.2097457627118644]
[0.09, 0.08, 297, 1119, 0.2097457627118644]
[0.01, 0.07, 289, 1127, 0.2040960451977401]
[0.02, 0.07, 289, 1127, 0.2040960451977401]
[0.03, 0.07, 289, 1127, 0.2040960451977401]
[0.04, 0.07, 289, 1127, 0.2040960451977401]
[0.05, 0.07, 289, 1127, 0.2040960451977401]
[0.06, 0.07, 289, 1127, 0.2040960451977401]
[0.07, 0.07, 289, 1127, 0.2040960451977401]
[0.08, 0.07, 289, 1127, 0.2040960451977401]
[0.09, 0.07, 289, 1127, 0.2040960451977401]
