[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.001, 0.006, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.001, 0.01, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.006, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.006, 0.006, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.006, 0.01, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.01, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.01, 0.006, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.01, 0.01, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.06, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.06, 0.006, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.06, 0.01, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.06, 0.06, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.06, 0.1, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.1, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.1, 0.006, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.1, 0.01, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.1, 0.06, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.1, 0.1, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075]
[0.6, 0.1, 17, 1168, 0.014345991561181435, 350, 0, 1.0, 0.23908794788273616]
[0.6, 0.6, 17, 1168, 0.014345991561181435, 350, 0, 1.0, 0.23908794788273616]
[0.6, 0.001, 16, 1169, 0.01350210970464135, 350, 0, 1.0, 0.23843648208469057]
[0.6, 0.006, 16, 1169, 0.01350210970464135, 350, 0, 1.0, 0.23843648208469057]
[0.6, 0.01, 16, 1169, 0.01350210970464135, 350, 0, 1.0, 0.23843648208469057]
[0.6, 0.06, 16, 1169, 0.01350210970464135, 350, 0, 1.0, 0.23843648208469057]
[1.0, 0.001, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 0.006, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 0.01, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 0.06, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 0.1, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 0.6, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[1.0, 1.0, 1, 1184, 0.0008438818565400844, 350, 0, 1.0, 0.22866449511400652]
[0.01, 0.06, 69, 1116, 0.05822784810126582, 180, 170, 0.5142857142857142, 0.16221498371335505]
[0.001, 0.06, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.001, 0.1, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.001, 0.6, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.001, 1.0, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.006, 0.06, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.006, 0.1, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.01, 0.1, 69, 1116, 0.05822784810126582, 88, 262, 0.25142857142857145, 0.1022801302931596]
[0.006, 0.6, 58, 1127, 0.048945147679324896, 73, 277, 0.20857142857142857, 0.08534201954397394]
[0.006, 1.0, 51, 1134, 0.043037974683544304, 67, 283, 0.19142857142857142, 0.07687296416938111]
[0.01, 0.6, 21, 1164, 0.017721518987341773, 34, 316, 0.09714285714285714, 0.035830618892508145]
[0.01, 1.0, 16, 1169, 0.01350210970464135, 16, 334, 0.045714285714285714, 0.020846905537459284]
[0.6, 1.0, 0, 1185, 0.0, 20, 330, 0.05714285714285714, 0.013029315960912053]
[0.06, 0.6, 0, 1185, 0.0, 1, 349, 0.002857142857142857, 0.0006514657980456026]
[0.1, 0.6, 0, 1185, 0.0, 1, 349, 0.002857142857142857, 0.0006514657980456026]
[0.06, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
[0.1, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
