[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.001, 0.006, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.001, 0.01, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.006, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.006, 0.006, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.006, 0.01, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.01, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.01, 0.006, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.01, 0.01, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.06, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.06, 0.006, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.06, 0.01, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.06, 0.06, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.06, 0.1, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.1, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.1, 0.006, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.1, 0.01, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.1, 0.06, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.1, 0.1, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225, 0]
[0.6, 0.6, 1185, 0, 1.0, 18, 332, 0.05142857142857143, 0.78371335504886, 0]
[0.6, 0.01, 1185, 0, 1.0, 15, 335, 0.04285714285714286, 0.7817589576547231, 0]
[0.6, 0.06, 1185, 0, 1.0, 15, 335, 0.04285714285714286, 0.7817589576547231, 0]
[0.6, 0.1, 1185, 0, 1.0, 15, 335, 0.04285714285714286, 0.7817589576547231, 0]
[0.6, 0.001, 1185, 0, 1.0, 14, 336, 0.04, 0.7811074918566775, 0]
[0.6, 0.006, 1185, 0, 1.0, 14, 336, 0.04, 0.7811074918566775, 0]
[1.0, 0.001, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 0.006, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 0.01, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 0.06, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 0.1, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 0.6, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[1.0, 1.0, 1185, 0, 1.0, 1, 349, 0.002857142857142857, 0.7726384364820847, 0]
[0.01, 0.06, 609, 576, 0.5139240506329114, 72, 278, 0.2057142857142857, 0.4436482084690554, 695]
[0.001, 0.06, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.001, 0.1, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.001, 0.6, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.001, 1.0, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.006, 0.06, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.006, 0.1, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.01, 0.1, 92, 1093, 0.07763713080168777, 72, 278, 0.2057142857142857, 0.10684039087947883, 1371]
[0.006, 0.6, 80, 1105, 0.06751054852320675, 58, 292, 0.1657142857142857, 0.08990228013029317, 1397]
[0.006, 1.0, 71, 1114, 0.059915611814345994, 55, 295, 0.15714285714285714, 0.08208469055374593, 1409]
[0.01, 0.6, 30, 1155, 0.02531645569620253, 26, 324, 0.07428571428571429, 0.036482084690553744, 1479]
[0.6, 1.0, 46, 1139, 0.038818565400843885, 1, 349, 0.002857142857142857, 0.03061889250814332, 1488]
[0.01, 1.0, 24, 1161, 0.020253164556962026, 13, 337, 0.037142857142857144, 0.024104234527687295, 1498]
[0.06, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053, 1533]
[0.1, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053, 1533]
[0.06, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0, 1535]
[0.1, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0, 1535]
