[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.006, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.01, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.06, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.1, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.6, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[1.0, 0.006, 1166, 19, 0.9839662447257383, 110, 142, 0.4365079365079365, 0.8879610299234516]
[0.001, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.006, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.01, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.06, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.1, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.6, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[1.0, 0.01, 1164, 21, 0.9822784810126582, 111, 141, 0.44047619047619047, 0.8872651356993737]
[0.001, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.006, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.01, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.06, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.1, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.6, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[1.0, 0.001, 1167, 18, 0.9848101265822785, 106, 146, 0.42063492063492064, 0.8858733472512178]
[0.001, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.006, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.01, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.06, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.1, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.6, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[1.0, 0.06, 1122, 63, 0.9468354430379747, 146, 106, 0.5793650793650794, 0.8823938761308281]
[0.001, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.001, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.001, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.006, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.006, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.006, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.01, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.01, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.01, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.06, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.06, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.06, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.1, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.1, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.1, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.6, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.6, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[0.6, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[1.0, 0.1, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[1.0, 0.6, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
[1.0, 1.0, 90, 1095, 0.0759493670886076, 90, 162, 0.35714285714285715, 0.12526096033402923]
