[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 81, 1171, 0.06469648562300319, 260, 0, 1.0, 0.22552910052910052, 0]
[0.001, 0.006, 81, 1171, 0.06469648562300319, 260, 0, 1.0, 0.22552910052910052, 0]
[0.001, 0.01, 81, 1171, 0.06469648562300319, 260, 0, 1.0, 0.22552910052910052, 0]
[0.006, 0.001, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.006, 0.006, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.006, 0.01, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.001, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.006, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.01, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.001, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.006, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.01, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.06, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.1, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.001, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.006, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.01, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.06, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.1, 80, 1172, 0.06389776357827476, 260, 0, 1.0, 0.22486772486772486, 0]
[0.6, 0.6, 53, 1199, 0.04233226837060703, 260, 0, 1.0, 0.207010582010582, 0]
[0.6, 0.001, 48, 1204, 0.038338658146964855, 260, 0, 1.0, 0.2037037037037037, 0]
[0.6, 0.006, 48, 1204, 0.038338658146964855, 260, 0, 1.0, 0.2037037037037037, 0]
[0.6, 0.01, 48, 1204, 0.038338658146964855, 260, 0, 1.0, 0.2037037037037037, 0]
[0.6, 0.06, 48, 1204, 0.038338658146964855, 260, 0, 1.0, 0.2037037037037037, 0]
[0.6, 0.1, 48, 1204, 0.038338658146964855, 260, 0, 1.0, 0.2037037037037037, 0]
[1.0, 0.6, 20, 1232, 0.01597444089456869, 260, 0, 1.0, 0.18518518518518517, 0]
[1.0, 1.0, 20, 1232, 0.01597444089456869, 260, 0, 1.0, 0.18518518518518517, 0]
[1.0, 0.001, 18, 1234, 0.01437699680511182, 260, 0, 1.0, 0.18386243386243387, 0]
[1.0, 0.006, 18, 1234, 0.01437699680511182, 260, 0, 1.0, 0.18386243386243387, 0]
[1.0, 0.01, 18, 1234, 0.01437699680511182, 260, 0, 1.0, 0.18386243386243387, 0]
[1.0, 0.06, 18, 1234, 0.01437699680511182, 260, 0, 1.0, 0.18386243386243387, 0]
[1.0, 0.1, 18, 1234, 0.01437699680511182, 260, 0, 1.0, 0.18386243386243387, 0]
[0.01, 0.06, 80, 1172, 0.06389776357827476, 192, 68, 0.7384615384615385, 0.17989417989417988, 905]
[0.001, 0.06, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.001, 0.1, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.001, 0.6, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.001, 1.0, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.006, 0.06, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.006, 0.1, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.01, 0.1, 80, 1172, 0.06389776357827476, 90, 170, 0.34615384615384615, 0.11243386243386243, 1342]
[0.006, 0.6, 70, 1182, 0.05591054313099041, 75, 185, 0.28846153846153844, 0.0958994708994709, 1367]
[0.006, 1.0, 61, 1191, 0.048722044728434506, 70, 190, 0.2692307692307692, 0.08664021164021164, 1381]
[0.01, 0.6, 28, 1224, 0.022364217252396165, 33, 227, 0.12692307692307692, 0.04034391534391534, 1451]
[0.6, 1.0, 5, 1247, 0.003993610223642172, 45, 215, 0.17307692307692307, 0.03306878306878307, 1462]
[0.01, 1.0, 22, 1230, 0.01757188498402556, 19, 241, 0.07307692307692308, 0.027116402116402115, 1471]
[0.06, 0.6, 1, 1251, 0.0007987220447284345, 1, 259, 0.0038461538461538464, 0.0013227513227513227, 1510]
[0.1, 0.6, 1, 1251, 0.0007987220447284345, 1, 259, 0.0038461538461538464, 0.0013227513227513227, 1510]
[0.06, 1.0, 0, 1252, 0.0, 0, 260, 0.0, 0.0, 1512]
[0.1, 1.0, 0, 1252, 0.0, 0, 260, 0.0, 0.0, 1512]
