die	['0.073244','0.255809','0.005119','0.034507','0.163941','0.170444', '-0.345070','0.313450','0.384258','-0.300213','0.227153','0.275092', '0.210827','-0.075342','0.196000','-0.236667','-0.391695','0.064335', '0.022897','-0.119592','-0.084094','-0.012044','-0.257281','0.431680', '0.333678','0.260498','-0.043887','0.010751','0.241608','0.410169', '0.298385','-0.516378','-0.217350','-0.058203','-0.207677','-0.431838', '0.105860','0.416072','0.039661','0.274853','-0.197082','-0.038856', '-0.213129','-0.246038','-0.381691','-0.168365','-0.485109','0.314590', '-0.111274','-0.146627','-0.019884','0.146049']
im	['-0.025276','0.390632','-0.067185','-0.026181','0.027304','0.226167', '-0.286984','0.001653','0.518761','-0.085216','0.084151','0.220842', '-0.036594','0.119772','-0.080334','-0.178421','-0.500358','-0.058748', '-0.221241','-0.028093','0.041708','0.035966','0.009468','0.507776', '-0.040617','0.180606','-0.008924','-0.170777','0.239276','0.609788', '-0.045334','-0.543830','0.197190','-0.200219','-0.134657','-0.258343', '0.248817','-0.060410','-0.121406','0.349949','0.021300','-0.039695', '-0.242835','-0.534956','-0.027268','-0.488389','-0.471501','0.231997', '-0.196127','-0.076097','0.081910','0.156575']
in	['-0.169497','0.045869','0.011158','0.058036','0.066307','0.116049', '-0.299738','0.388694','0.599578','-0.164885','0.106601','0.318209', '-0.047896','0.018086','-0.116559','-0.195206','-0.470435','-0.322929', '0.088317','-0.188901','-0.041213','-0.046073','0.034118','0.283710', '0.295783','0.421110','-0.237538','-0.080895','0.238425','0.410409', '0.095802','-0.389054','0.086261','-0.059562','-0.254492','-0.450027', '0.167353','0.308267','0.061162','0.097465','-0.045477','0.210583', '-0.182347','-0.211982','-0.110723','-0.283396','-0.472681','0.351455', '-0.295721','0.102632','0.055338','0.344535']
und	['-0.012571','0.250754','-0.016938','0.195748','0.155845','0.306131', '-0.606554','0.376769','0.213067','-0.395151','0.216113','0.194848', '0.287414','-0.203163','0.127777','-0.350179','-0.559465','-0.154022', '0.204333','-0.154601','-0.393090','-0.140339','-0.430546','0.688351', '0.454977','0.230788','-0.052695','0.123108','0.294624','0.542717', '0.207786','-0.464057','-0.291188','0.010034','-0.288638','-0.347939', '-0.086150','0.319601','0.046393','0.255580','-0.199101','0.259437', '-0.080468','-0.112859','-0.548488','-0.202473','-0.393920','0.243969', '0.161014','-0.179966','-0.190433','0.456852']
der	['-0.065839','0.214717','0.014787','0.106532','0.074795','0.290732', '-0.428684','0.284164','0.267226','-0.364626','0.144032','0.237692', '0.273375','-0.175747','0.287566','-0.174411','-0.438357','-0.015067', '0.257118','-0.135202','-0.407986','-0.121945','-0.479186','0.580033', '0.549457','0.303785','-0.030542','0.047068','0.346545','0.505563', '0.191757','-0.529245','-0.051342','0.098374','-0.156013','-0.452371', '-0.017937','0.429690','0.264949','0.291782','-0.136633','0.326661', '-0.215430','-0.300924','-0.469029','-0.268029','-0.501345','0.396342', '0.185287','-0.170780','-0.088368','0.346190']
so	['0.161901','0.303944','0.012567','-0.223652','0.136943','0.138896', '-0.314443','0.123656','0.436299','-0.085795','0.104293','0.335960', '0.086000','0.224800','-0.165831','-0.529072','-0.663606','-0.103152', '-0.134538','0.220193','0.179056','-0.081061','0.322773','0.622188', '0.147490','0.058289','-0.100202','-0.065274','0.158653','0.355156', '0.115428','-0.584114','-0.241171','-0.216523','-0.307483','-0.082287', '0.294237','0.028284','-0.143962','0.196081','-0.142615','-0.142193', '-0.178011','0.081161','0.140131','-0.092292','-0.333485','0.235010', '-0.060309','-0.292625','-0.006281','0.047625']
das	['0.285343','0.376633','-0.045008','-0.026555','0.099411','0.144614', '-0.500776','0.266683','0.215224','-0.342620','0.208915','0.279883', '0.355957','-0.092185','0.224011','-0.431901','-0.489977','-0.137842', '0.037917','-0.007348','-0.191878','-0.013941','-0.368624','0.651867', '0.649111','0.163916','-0.079268','0.209451','0.461732','0.379260', '0.216229','-0.507912','-0.302437','-0.049467','-0.231286','-0.217236', '0.006973','0.404606','0.081168','0.262611','-0.232660','0.058338', '-0.119308','-0.094791','-0.436101','-0.105074','-0.395664','0.145739', '0.170790','-0.304943','-0.203281','0.210672']
ist	['0.111824','0.401150','-0.009823','-0.030578','0.072878','0.207494', '-0.533395','0.212262','0.133245','-0.409896','0.153451','0.286871', '0.400732','-0.064844','0.119949','-0.403932','-0.445292','-0.189055', '0.144418','0.072584','-0.250929','-0.124268','-0.470912','0.786081', '0.645229','0.192950','-0.099239','0.151840','0.434256','0.488888', '0.163931','-0.564157','-0.335374','-0.045132','-0.130562','-0.277712', '-0.099129','0.480923','0.142273','0.137041','-0.188704','0.157066', '-0.153595','-0.054183','-0.480211','-0.196098','-0.444816','0.276399', '0.181027','-0.334481','-0.267289','0.241734']
mit	['0.018233','0.226647','0.016151','0.379943','0.203109','0.375920', '-0.497197','0.242755','0.166603','-0.233761','0.229712','0.116082', '0.191546','-0.121243','0.102518','-0.296819','-0.420487','-0.133108', '0.327666','-0.230133','-0.358118','-0.008485','-0.403922','0.739305', '0.479470','0.269463','-0.150867','0.076700','0.380391','0.475010', '0.157822','-0.399848','-0.247814','0.130008','-0.226257','-0.334938', '-0.154683','0.368010','-0.036896','0.377863','-0.183027','0.321285', '-0.041643','-0.166627','-0.593287','-0.231130','-0.385754','0.170863', '0.173416','-0.060149','-0.125923','0.542303']
ein	['0.178062','0.150566','0.050526','0.017144','0.201564','0.083013', '-0.594146','0.189750','0.247813','-0.253887','0.038923','0.454353', '0.390666','-0.077863','0.036273','-0.301100','-0.324623','-0.352392', '0.304210','-0.343345','-0.365536','0.146635','-0.503213','0.776332', '0.502938','0.257954','-0.206838','0.052075','0.431808','0.286032', '0.168291','-0.388844','-0.220977','-0.028229','-0.295305','-0.152969', '0.067996','0.505455','0.128926','0.491249','-0.131229','0.058589', '-0.158716','-0.208455','-0.384243','-0.141266','-0.237985','0.241756', '0.289339','-0.126774','-0.141908','0.187860']
