[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.001, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.006, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.006, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.006, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.01, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.01, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.01, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.06, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.06, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.06, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.06, 0.06, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.1, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.1, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.1, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.1, 0.06, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.1, 0.1, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.6, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.6, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.6, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.6, 0.06, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.6, 0.1, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.001, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.006, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.01, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.06, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.1, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[1.0, 0.6, 0, 1272, 0.0, 240, 0, 1.0, 0.15873015873015872, 0]
[0.001, 0.01, 0, 1272, 0.0, 231, 9, 0.9625, 0.1527777777777778, 104]
[0.06, 0.1, 0, 1272, 0.0, 222, 18, 0.925, 0.14682539682539683, 238]
[0.6, 0.6, 0, 1272, 0.0, 174, 66, 0.725, 0.11507936507936507, 562]
[1.0, 1.0, 0, 1272, 0.0, 98, 142, 0.4083333333333333, 0.06481481481481481, 1169]
[0.001, 0.06, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.001, 0.1, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.001, 0.6, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.001, 1.0, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.006, 0.06, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.006, 0.1, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.01, 0.06, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.01, 0.1, 0, 1272, 0.0, 70, 170, 0.2916666666666667, 0.046296296296296294, 1442]
[0.006, 0.6, 0, 1272, 0.0, 44, 196, 0.18333333333333332, 0.0291005291005291, 1468]
[0.006, 1.0, 0, 1272, 0.0, 41, 199, 0.17083333333333334, 0.027116402116402115, 1471]
[0.01, 0.6, 0, 1272, 0.0, 13, 227, 0.05416666666666667, 0.008597883597883597, 1499]
[0.01, 1.0, 0, 1272, 0.0, 8, 232, 0.03333333333333333, 0.005291005291005291, 1504]
[0.06, 0.6, 0, 1272, 0.0, 0, 240, 0.0, 0.0, 1512]
[0.06, 1.0, 0, 1272, 0.0, 0, 240, 0.0, 0.0, 1512]
[0.1, 0.6, 0, 1272, 0.0, 0, 240, 0.0, 0.0, 1512]
[0.1, 1.0, 0, 1272, 0.0, 0, 240, 0.0, 0.0, 1512]
[0.6, 1.0, 0, 1272, 0.0, 0, 240, 0.0, 0.0, 1512]
