[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.001, 0.006, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.001, 0.01, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.006, 0.001, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.006, 0.006, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.006, 0.01, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.001, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.006, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.01, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.001, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.006, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.01, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.06, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.06, 0.1, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.001, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.006, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.01, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.06, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.1, 0.1, 70, 1172, 0.05636070853462158, 270, 0, 1.0, 0.22486772486772486, 0]
[0.01, 0.06, 70, 1172, 0.05636070853462158, 263, 7, 0.9740740740740741, 0.22023809523809523, 86]
[0.6, 0.6, 4, 1238, 0.00322061191626409, 270, 0, 1.0, 0.18121693121693122, 0]
[0.6, 0.001, 3, 1239, 0.0024154589371980675, 270, 0, 1.0, 0.18055555555555555, 0]
[0.6, 0.006, 3, 1239, 0.0024154589371980675, 270, 0, 1.0, 0.18055555555555555, 0]
[0.6, 0.01, 3, 1239, 0.0024154589371980675, 270, 0, 1.0, 0.18055555555555555, 0]
[0.6, 0.06, 3, 1239, 0.0024154589371980675, 270, 0, 1.0, 0.18055555555555555, 0]
[0.6, 0.1, 3, 1239, 0.0024154589371980675, 270, 0, 1.0, 0.18055555555555555, 0]
[1.0, 0.001, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 0.006, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 0.01, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 0.06, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 0.1, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 0.6, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[1.0, 1.0, 0, 1242, 0.0, 270, 0, 1.0, 0.17857142857142858, 0]
[0.001, 0.06, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.001, 0.1, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.001, 0.6, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.001, 1.0, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.006, 0.06, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.006, 0.1, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.01, 0.1, 70, 1172, 0.05636070853462158, 100, 170, 0.37037037037037035, 0.11243386243386243, 1342]
[0.006, 0.6, 51, 1191, 0.04106280193236715, 84, 186, 0.3111111111111111, 0.08928571428571429, 1377]
[0.006, 1.0, 46, 1196, 0.037037037037037035, 77, 193, 0.2851851851851852, 0.08134920634920635, 1389]
[0.6, 1.0, 2, 1240, 0.001610305958132045, 100, 170, 0.37037037037037035, 0.06746031746031746, 1410]
[0.01, 0.6, 19, 1223, 0.015297906602254429, 32, 238, 0.11851851851851852, 0.03373015873015873, 1461]
[0.01, 1.0, 14, 1228, 0.011272141706924315, 20, 250, 0.07407407407407407, 0.022486772486772486, 1478]
[0.06, 0.6, 1, 1241, 0.0008051529790660225, 1, 269, 0.003703703703703704, 0.0013227513227513227, 1510]
[0.1, 0.6, 0, 1242, 0.0, 1, 269, 0.003703703703703704, 0.0006613756613756613, 1511]
[0.06, 1.0, 0, 1242, 0.0, 0, 270, 0.0, 0.0, 1512]
[0.1, 1.0, 0, 1242, 0.0, 0, 270, 0.0, 0.0, 1512]
